"",,,Percentage of isolates,,,,Percentage of all isolates with MIC (μg/mL)**,,,,
Rank*,†CLSI  Antimicrobial Class,Antimicrobial Agent,,,,,,,,,
"",,,¶%I ‡ %R § [95% CI],0.015,0.03,0.06,0.125 0.25 0.50 1 2 4 8,16,32,64,128
"",Aminoglycosides,Gentamicin,N/A 1.8 [1.1 - 2.8],,,,0.1 2.1 54.7 40.9 0.4,,,1.8,
"",Ketolide,Telithromycin,N/A 3.0 [2.0 - 4.3],,,,0.3 2.4 15.8 51.5 24.6 2.4 0.7,2.3,,,
"",Macrolides,Azithromycin,N/A 2.7 [1.8 - 3.9],0.1,9.1,44.4,38.0 5.7,,,,2.7
I,,,,,,,,,,,
"",,Erythromycin,N/A 2.7 [1.8 - 3.9],,,0.1,0.5 15.6 51.8 25.5 3.8,,,,2.7
"",Quinolones,Ciprofloxacin,N/A 25.3 [22.6 - 28.1],0.1,0.5,18.5,47.4 6.9 1.3 0.1 0.4 11.0,7.7,3.6,2.2,0.3
"",,Nalidixic acid,N/A 25.2 [22.5 - 28.0],,,,55.9 16.8,2.1,0.2,0.3,24.7
"",Lincosamides,Clindamycin,N/A 3.1 [2.1 - 4.4],,,6.7,50.5 32.3 7.4 0.4 0.5 0.6,0.9,0.7,,
II,Phenicols,Florfenicol,N/A 1.5 [0.8 - 2.5],,,,0.2 0.1 1.8 75.4 17.3 3.7 1.3,0.2,,,
"",Tetracyclines,Tetracycline,N/A 47.7 [44.6 - 50.8],,,0.4,17.5 28.8 4.0 1.6 0.9 0.1,,0.6,6.1,40.0
